"Points:0","Points:1","Points:2","alpha.water"
2,0.30566,0.005,0.25
2,0.3053,0.005,0.25
2,0.3048,0.005,0.25
2,0.30399,0.005,0.25
2,0.30338,0.005,0.25
2,0.30282,0.005,0.25
2,0.30235,0.005,0.25
2,0.30157,0.005,0.25
2,0.30084,0.005,0.25
2,0.30022,0.005,0.25
2,0.29975,0.005,0.25
2,0.29916,0.005,0.25
2,0.29835,0.005,0.25
2,0.29777,0.005,0.25
2,0.29727,0.005,0.25
2,0.2969,0.005,0.25
2,0.2964,0.005,0.25
2,0.29574,0.005,0.25
2,0.29532,0.005,0.25
2,0.29494,0.005,0.25
2,0.29461,0.005,0.25
2,0.2944,0.005,0.25
2,0.29424,0.005,0.25
2,0.29409,0.005,0.25
2,0.29396,0.005,0.25
2,0.29387,0.005,0.25
2,0.29382,0.005,0.25
2,0.29382,0.005,0.25
2,0.29387,0.005,0.25
2,0.29398,0.005,0.25
2,0.29411,0.005,0.25
2,0.29427,0.005,0.25
2,0.29442,0.005,0.25
2,0.29468,0.005,0.25
2,0.29502,0.005,0.25
2,0.29542,0.005,0.25
2,0.29585,0.005,0.25
2,0.29656,0.005,0.25
2,0.29701,0.005,0.25
2,0.29743,0.005,0.25
2,0.29799,0.005,0.25
2,0.29859,0.005,0.25
2,0.29945,0.005,0.25
2,0.29996,0.005,0.25
2,0.30055,0.005,0.25
2,0.3012,0.005,0.25
2,0.30208,0.005,0.25
2,0.30263,0.005,0.25
2,0.30316,0.005,0.25
2,0.30378,0.005,0.25
2,0.30455,0.005,0.25
2,0.30517,0.005,0.25
2,0.30555,0.005,0.25
2,0.306,0.005,0.25
2,0.30644,0.005,0.25
2,0.30684,0.005,0.25
2,0.30737,0.005,0.25
2,0.30771,0.005,0.25
2,0.30791,0.005,0.25
2,0.30804,0.005,0.25
2,0.3081,0.005,0.25
2,0.30812,0.005,0.25
2,0.3081,0.005,0.25
2,0.30803,0.005,0.25
2,0.30789,0.005,0.25
2,0.30768,0.005,0.25
2,0.30731,0.005,0.25
2,0.30679,0.005,0.25
2,0.30639,0.005,0.25
2,0.30594,0.005,0.25
2,0.3055,0.005,0.25
2,0.30513,0.005,0.25
2,0.30447,0.005,0.25
2,0.30373,0.005,0.25
2,0.30311,0.005,0.25
2,0.3026,0.005,0.25
2,0.30205,0.005,0.25
2,0.30117,0.005,0.25
2,0.30052,0.005,0.25
2,0.29996,0.005,0.25
2,0.29947,0.005,0.25
2,0.2986,0.005,0.25
2,0.29799,0.005,0.25
2,0.29743,0.005,0.25
2,0.29702,0.005,0.25
2,0.29655,0.005,0.25
2,0.29583,0.005,0.25
2,0.29537,0.005,0.25
2,0.29495,0.005,0.25
2,0.29458,0.005,0.25
